"t, m","t, s","E, mV"
0.00,0,7.5
0.17,10,7.3
0.33,20,7.1
0.50,30,6.9
0.67,40,6.8
0.83,50,6.6
1.00,60,6.4
1.17,70,6.3
1.33,80,6.1
1.50,90,6
1.67,100,5.9
1.83,110,5.7
2.00,120,5.6
2.17,130,5.4
2.33,140,5.3
2.50,150,5.2
2.67,160,5.1
2.83,170,5
3.00,180,4.8
3.17,190,4.7
3.33,200,4.6
3.50,210,4.5
3.67,220,4.4
3.83,230,4.3
4.00,240,4.2
4.17,250,4.1
4.33,260,4
4.50,270,3.9
4.67,280,3.8
4.83,290,3.7
5.00,300,3.7
5.17,310,3.6
5.33,320,3.5
5.50,330,3.4
5.67,340,3.3
5.83,350,3.3
6.00,360,3.2
6.17,370,3.1
6.33,380,3
6.50,390,3
6.67,400,2.9
6.83,410,2.9
7.00,420,2.8
7.17,430,2.7
7.33,440,2.7
7.50,450,2.6
7.67,460,2.6
7.83,470,2.5
8.00,480,2.4
8.17,490,2.4
8.33,500,2.3
8.50,510,2.3
8.67,520,2.3
8.83,530,2.2
9.00,540,2.2
9.17,550,2.1
9.33,560,2.1
9.50,570,2
