"l, cm","T1, s","T2, s",,"l,cm",,"g, ms^-2"
47,1.3647,1.3639,,46.314,,9.82894645706635
46,1.3551,1.351,,,,
45,1.3459,1.3373,,,,
44,1.3372,1.3262,,,,
43,1.3294,1.3118,,,,
42,1.323,1.2994,,,,
41,1.3165,1.2859,,,,
40,1.3109,1.2733,,,,
35,1.2909,1.2091,,,,
30,1.2828,1.1472,,,,
25,1.2855,1.0906,,,,
20,1.2962,1.0484,,,,
15,1.3152,1.0371,,,,
14,1.3193,1.0416,,,,
13,1.3234,1.0491,,,,
12,1.3285,1.0612,,,,
11,1.3335,1.0759,,,,
10,1.3383,1.0985,,,,
9,1.3441,1.1266,,,,
8,1.3496,1.1621,,,,
7,1.3552,1.2144,,,,
6,1.3614,1.2752,,,,
5,1.3669,1.35,,,,
